"","samplesize","cauchywithin","cauchybetween"
"63",154,0.026985082265516,0.0521901189601532
"64",156,0.0267991867856439,0.0518849302536406
"65",158,0.0266168358524406,0.0515850575717722
"66",160,0.026437919551614,0.0512899444821662
"67",162,0.0262623326673976,0.0509999194990263
"68",164,0.026089974428543,0.0507144691241068
"69",166,0.0259207482737889,0.0504335972159331
"70",168,0.0257545616215786,0.0501571713647628
"71",170,0.0255913256764129,0.0498850861905917
"72",172,0.0254309552198442,0.0496172234305203
"73",174,0.0252733684369764,0.0493534737094818
"74",176,0.0251184867366405,0.0490937316440463
"75",178,0.0249662346021013,0.0488378956371698
"76",180,0.0248165394250144,0.0485858677293713
"77",182,0.0246693313722743,0.048337553410144
"78",184,0.0245245374622309,0.0480928614649958
"79",186,0.0243821028591769,0.047851703823635
"80",188,0.0242419608244102,0.0476139954284411
"81",190,0.0241040512911719,0.0473796540927802
"82",192,0.0239683163653059,0.0471486003698547
"83",194,0.0238347002252262,0.0469207574424808
"84",196,0.0237031490265895,0.0466960509996968
"85",198,0.0235736108076265,0.046474409149482
"86",200,0.0234460354223196,0.0462557622937259
"87",202,0.0233203744408539,0.0460400430572219
"88",204,0.0231965810826067,0.0458271861871236
"89",206,0.0230746101498021,0.0456171284808919
"90",208,0.0229544179507943,0.0454098086855632
"91",210,0.0228359622400669,0.045205167457768
"92",212,0.0227192021598812,0.0450031472554409
"93",214,0.0226040981759996,0.0448036922919455
"94",216,0.0224906053907681,0.0446067484547112
"95",218,0.0223787066810357,0.0444122632468964
"96",220,0.0222683521857197,0.0442201857237388
"97",222,0.022159497762857,0.0440304663755213
"98",224,0.0220521224032009,0.0438430572389517
"99",226,0.0219461923997035,0.0436579116068536
"100",228,0.0218416716986856,0.0434749841081667
"101",230,0.0217385195206239,0.0432942306440309
"102",232,0.0216366872108233,0.0431156083068878
"103",234,0.0215362936720394,0.0429390756498993
"104",236,0.0214371277763235,0.0427645912459034
"105",238,0.0213392303621349,0.04259211629145
"106",240,0.0212425715049696,0.0424216120433845
"107",242,0.021147129967177,0.0422530409795565
"108",244,0.0210528791925078,0.0420863665564797
"109",246,0.0209597949729692,0.041921553169769
"110",248,0.020867853810802,0.0417585661130935
"111",250,0.0207770328965329,0.0415973715510496
"112",252,0.0206873003386159,0.0414379365194821
"113",254,0.0205986448852575,0.041280228871079
"114",256,0.0205110378531344,0.0411242172717161
"115",258,0.0204244541943563,0.040969871156971
"116",260,0.0203389716368232,0.0408171607288206
"117",262,0.0202544248642691,0.0406660569350468
"118",264,0.0201708545913353,0.0405165314386715
"119",266,0.0200882424110587,0.0403685694540465
"120",268,0.0200065703700325,0.0402221376854732
"121",270,0.0199258209759385,0.0400771985809594
"122",272,0.0198459771720021,0.0399337363510008
"123",274,0.0197670223351247,0.0397918876292001
"124",276,0.0196889402841705,0.0396513172237414
"125",278,0.0196117152834336,0.0395121495211441
"126",280,0.0195353320773588,0.0393743613630022
"127",282,0.0194597758899797,0.0392379301304646
"128",284,0.0193850324238276,0.0391028336896153
"129",286,0.0193110877890246,0.0389690504512092
"130",288,0.0192379283874806,0.0388365593037483
"131",290,0.0191655407300391,0.0387053395896944
"132",292,0.019093911290796,0.0385753711370824
"133",294,0.0190230265063815,0.0384466342120464
"134",296,0.0189528730426383,0.0383191095149313
"135",298,0.0188834382180767,0.0381927781781273
"136",300,0.0188147102448735,0.0380676217306255
